,№,region,district,locality,hybrid,seeding_date,desication_date,harvesting_date,prodactivity_c/hec,seed_circle_moisture_%,seed_specific_weight_kg/HL,zone,index,mean_index_FarmShots,frame_number,frame_square_m^2,account_frames_area_m^2,total_frame_loss_g,loss_g/m^2,loss_g/hec,loss_kg/hec,2.5,loss_%/hec,seed_moisture_%,field_square,field_square_percent_%,number_of_hectares_of_the_total_area,prodactivity_kg/hec,loss_kg,total_field_loss,Unnamed: 30,"coef_2,5",2.5
0,1,Луганська обл.,Троїцький,Караїчне,Peeoner,,2021-08-25 00:00:00,2021-09-05,27.5,9.8,36.6,Десикація 10 л/га.,,,11,0.1,1.1,0.9,0.818181818181818,8181.81818181818,8.18181818181818,,0.297520661157025,9.3,3.8,100,3.8,2750,31.0909090909091,,,20.4545454545455,
1,1,Луганська обл.,Троїцький,Караїчне,Peeoner,,2021-08-25 00:00:00,2021-09-05,27.5,9.8,36.6,"Десикація 3,5 л/га.",,,11,0.1,1.1,0.95,0.863636363636364,8636.36363636364,8.63636363636364,,0.314049586776859,9.4,1.3,100,1.3,2750,11.2272727272727,,,28.0681818181818,
2,1,Луганська обл.,Троїцький,Караїчне,Peeoner,,,2021-09-05,27.5,9.8,36.6,Червона зона,"0,16-0,25",0.267,11,0.1,1.1,2.04,1.85454545454545,18545.4545454545,18.5454545454545,,0.674380165289256,12.1,21,13.7,2.877,2750,53.3552727272727,,,133.388181818182,
3,1,Луганська обл.,Троїцький,Караїчне,Peeoner,,,2021-09-05,27.5,9.8,36.6,Жовта зона,"0,25-0,28",0.267,11,0.1,1.1,3.02,2.74545454545455,27454.5454545455,27.4545454545455,,0.998347107438016,12.7,21,79.7,16.737,2750,459.506727272727,,,1148.76681818182,
4,1,Луганська обл.,Троїцький,Караїчне,Peeoner,,,2021-09-05,27.5,9.8,36.6,Зелена зона,"0,28-0,34",0.267,11,0.1,1.1,2.83,2.57272727272727,25727.2727272727,25.7272727272727,,0.935537190082644,12.2,21,6,1.26,2750,32.4163636363636,587.596545454545,,81.0409090909091,
5,2,Полтавська,Машівський,Кошманівка,П64ЛП130,,11.09.2021.,2021-10-01,40.41,10.1,34.4,Десикація 6 л/га.,"0,13-0,19",0.212,10,0.1,1,6,6,60000,60,,1.48478099480327,9.5,100.4,10,10.07,4041,602.4,,,1506,
6,2,Полтавська,Машівський,Кошманівка,П64ЛП131,,,2021-10-01,40.41,10.1,34.4,Червона зона,"0,13-0,19",0.212,9,0.1,0.9,3.75,4.16666666666667,41666.6666666667,41.6666666666667,,1.03109791305782,10.8,100.4,28.67,28.78468,4041,1199.36166666667,,,2998.40416666667,
7,2,Полтавська,Машівський,Кошманівка,П64ЛП132,,,2021-10-01,40.41,10.1,34.4,Жовта зона,"0,19-0,22",0.212,8,0.1,0.8,2.78,3.475,34750,34.75,,0.859935659490225,10.5,100.4,54.94,55.15976,4041,1916.80166,,,4792.00415,
8,2,Полтавська,Машівський,Кошманівка,П64ЛП133,,,2021-10-01,40.41,10.1,34.4,Зелена зона,"0,22-0,34",0.212,10,0.1,1,13.5,13.5,135000,135,,3.34075723830735,13.1,100.4,16.31,16.37524,4041,2210.6574,5929.22072666667,,5526.6435,
9,3,Кіровоградська 1,Олександрівський,Любомирка,Експерто,2021-05-04,2021-09-17 00:00:00,2021-10-05,33,10.1,38.1,Десикація 6 л/га.,"0,13-0,19",0.231,9,0.1,0.9,9.3,10.3333333333333,103333.333333333,103.333333333333,,3.13131313131313,9.3,88.2,11.1,9.7902,3300,1011.654,,,2529.135,
